russisk;norsk
вокзал;jernbanestasjon
городской;by-
ждать;å vente (imperfektiv)
житель;innbygger masc
и...и...;både...og...
левый;venstre
минута;minutt
остановка;holdeplass
поехать;å reise (imperfektiv)
правый;høyre
пойти;å gå (imperfektiv)
правый;høyre
свой (своя, своё, свои);sin,sitt,sine
сидеть;å sitte (imperfektiv)
умный;smart
учёный;lærd,vitenskapsmann
часы;klokke pl
группа;gruppe
ложка;skje
звонить;å ringe (imperfektiv)
ошибка;feil
проблема;problem
просить;å be om (imperfektiv)
стоить;å koste,stå (imperfektiv)
сувенир;suvenir
фотоаппарат;fotoapparat,kamera
цена;pris
богатый;rik
брать;å ta (imperfektiv)
взять;å ta (perfektiv)
государственный;statlig
здание;bygning
каждый;hver
написать;å skrive (perfektiv)
обычно;vanligvis
опаздывать;å være forsinket (imperfektiv)
поездка;reise
позвонить;å ringe (perfektiv)
приложение;app
разный;forskjellig
российский;russisk (statlig)
современный;moderne
спросить;å spørre (perfektiv)
столица;hovedstad
трамвай;trikk
транспорт;transport
биология;biologi
дать;å gi (perfektiv)
известный;kjent
лекция;forelesning
литература;litteratur
математика;matematikk
московский;moskovskij
образование;utdanning
овщежитие;studentbolig
общий;felles, generell
посмотреть;å se (perfektiv)
поступать;å søke opptak,begynne på høyere utdannelse (imperfektiv)
поступить;å søke opptak,begynne på høyere utdannelse (perfektiv)
предмет;fag
преподаватель;lærer,foreleser masc
река;elv
сделать;å gjøre (perfektiv)
студенческий;student-
увидеть;å se (perfektiv)
университет;universitet
учебник;lærebok
учить;å lære (imperfektiv)
учиться;å studere,lære (seg) (imperfektiv)
факултет;fakultet
философия;filosofi
экзамен;eksamen
экономика;økonomi
бедный;fattig
беликий;stor
вставать;å stå opp (imperfektiv)
встать;å stå opp (perfektiv)
голубой;lys blå
грамм;gram
жизнь;liv fem
инженер;ingeniør
картошка;potet
килограмм;kilogram
копейка;kopek
народный костюм;folkedrakt
настоящий;ekte,virkelig
обощ;grønnsak
писатель;forfatter masc
помнить;å huske (imperfektiv)
станция;stasjon
уставать;å bli trøtt (imperfektiv)
устать;å bli sliten (perfektiv)
хозяин;husbond masc
яблоко;eple
яйцо;egg
англичанин;engelskmann pl (англичане)
должен (должна, должно, должны);måtte,skulle,burde
завод;fabrikk
иностранец;utlending
клуб;klubb
менеджер;manager
музыкант;musiker
находиться;å befinne seg, ligge (imperfektiv)
переехать;å flytte (perfektiv)
рассказать;å fortelle (perfektiv)
сказать;å si (perfektiv)
танцевать;å danse (imperfektiv)
фотографировать;å fotografere (imperfektiv)
часть;del fem
другой;annen, annerledes
курить;å røyke (imperfektiv)
мороженое;iskrem
называться;å hete (imperfektiv)
немец;tysk (person)
национальность;nasjonalitet fem
национальный;nasjonal
подумать;å tenke (perfektiv)
поужинать;å spise middag (kveldsmat) (perfektiv)
свет;lys
трудный;vanskelig
удовольствие;glede
фирма;firma
южный;sørlig


